,gene_id,gene_name,gene_type,gene_chrom,gene_start,gene_end,n_cells,percent_cells,robust,highly_variable_features,ribosomal,mitochondrial,protein_coding,mitocarta_genes,robust_protein_coding,mean,bins,std
SLC6A11,ENSG00000132164,SLC6A11,protein_coding,3,10816201.0,10940714.0,2119880.0,23.8216118749816,True,True,False,False,True,False,True,0.2201520948964793,"(0.551, 0.63]",0.4541186145770166
GPIHBP1,ENSG00000277494,GPIHBP1,protein_coding,8,143213218.0,143217170.0,501634.0,5.636984381802045,True,True,False,False,True,False,True,0.03901689832440538,"(0.14, 0.161]",0.17025538020260458
AFMID,ENSG00000183077,AFMID,protein_coding,17,78187317.0,78207701.0,1876791.0,21.08996111688331,True,True,False,False,True,False,True,0.16575187422142118,"(0.484, 0.551]",0.3462053605906855
PTPRC,ENSG00000081237,PTPRC,protein_coding,1,198638457.0,198757476.0,822395.0,9.241454468142296,True,True,False,False,True,False,True,0.08969981685737807,"(0.282, 0.324]",0.36035811186821903
WAS,ENSG00000015285,WAS,protein_coding,X,48676596.0,48691427.0,362808.0,4.076962545586695,True,False,False,False,True,False,True,0.027830089417050886,"(0.0773, 0.0894]",0.1418295385913861
G0S2,ENSG00000123689,G0S2,protein_coding,1,209675412.0,209676390.0,118048.0,1.3265343503489953,True,True,False,False,True,False,True,0.008015411906225702,"(0.027, 0.0314]",0.08339106306811082
CCDC141,ENSG00000163492,CCDC141,protein_coding,2,178829757.0,179050086.0,588213.0,6.6098938552269715,True,True,False,False,True,False,True,0.056358216561584976,"(0.14, 0.161]",0.24082495916266308
LRRC8A,ENSG00000136802,LRRC8A,protein_coding,9,128882133.0,128918039.0,1882731.0,21.15671035482951,True,True,False,False,True,False,True,0.16854288378739374,"(0.425, 0.484]",0.3531653114686648
PELI2,ENSG00000139946,PELI2,protein_coding,14,56117814.0,56301524.0,3457990.0,38.85828237804386,True,True,False,False,True,False,True,0.4378146569812091,"(1.125, 1.352]",0.62146580016161
TXK,ENSG00000074966,TXK,protein_coding,4,48066393.0,48134250.0,521173.0,5.85654892056144,True,False,False,False,True,False,True,0.06999627261210847,"(0.104, 0.121]",0.27890635265988445
LAYN,ENSG00000204381,LAYN,protein_coding,11,111540280.0,111561745.0,683425.0,7.679814468582796,True,True,False,False,True,False,True,0.05723962070420761,"(0.185, 0.214]",0.21191754297850002
CHRNA7,ENSG00000175344,CHRNA7,protein_coding,15,31923438.0,32173018.0,1176001.0,13.21501188113961,True,True,False,False,True,False,True,0.12809941638248248,"(0.282, 0.324]",0.38280778369291113
C4orf45,ENSG00000164123,C4orf45,protein_coding,4,158893134.0,159038760.0,1785060.0,20.05915735492323,True,True,False,False,True,False,True,0.18655301958152218,"(0.425, 0.484]",0.40578345265223265
BROX,ENSG00000162819,BROX,protein_coding,1,222712553.0,222735196.0,2176559.0,24.458527709586427,True,True,False,False,True,False,True,0.19824681479614326,"(0.551, 0.63]",0.37536607595689064
SLCO1B1,ENSG00000134538,SLCO1B1,protein_coding,12,21131194.0,21239796.0,284871.0,3.2011653473016786,True,True,False,False,True,False,True,0.025338803472234984,"(0.0894, 0.104]",0.15305532221090487
GAD2,ENSG00000136750,GAD2,protein_coding,10,26216665.0,26304558.0,1615933.0,18.15863574446414,True,True,False,False,True,False,True,0.21497235483455546,"(0.484, 0.551]",0.5880782822861687
ABCG2,ENSG00000118777,ABCG2,protein_coding,4,88090150.0,88231628.0,395776.0,4.447432053433552,True,True,False,False,True,False,True,0.03979078247824976,"(0.104, 0.121]",0.21181447757158772
DDR2,ENSG00000162733,DDR2,protein_coding,1,162631373.0,162787405.0,1391299.0,15.634368351062337,True,True,False,False,True,False,True,0.13834002472846568,"(0.368, 0.425]",0.3683903518768809
CHST15,ENSG00000182022,CHST15,protein_coding,10,124007668.0,124093598.0,2416650.0,27.15648920583914,True,True,False,False,True,False,True,0.30008471648227,"(0.63, 0.72]",0.5438882549323363
MS4A6A,ENSG00000110077,MS4A6A,protein_coding,11,60172015.0,60184666.0,261459.0,2.9380789569319083,True,True,False,False,True,False,True,0.027490987388085777,"(0.0894, 0.104]",0.17810696203903492
SHROOM2,ENSG00000146950,SHROOM2,protein_coding,X,9786429.0,9949443.0,1462198.0,16.431077815902007,True,False,False,False,True,False,True,0.13087725560270966,"(0.324, 0.368]",0.3175930698377483
HFE,ENSG00000010704,HFE,protein_coding,6,26087281.0,26098343.0,235559.0,2.6470342998937633,True,True,False,False,True,False,True,0.017223002006092378,"(0.0671, 0.0773]",0.11641758110838511
STAT6,ENSG00000166888,STAT6,protein_coding,12,57095408.0,57132139.0,1277062.0,14.350659143106096,True,True,False,False,True,False,True,0.11610444410943262,"(0.282, 0.324]",0.2940336727506236
PLS3,ENSG00000102024,PLS3,protein_coding,X,115561174.0,115650861.0,2762727.0,31.045441397877376,True,True,False,False,True,False,True,0.2805464292691981,"(0.825, 0.96]",0.4901331459829851
NECTIN2,ENSG00000130202,NECTIN2,protein_coding,19,44846175.0,44889223.0,822037.0,9.237431534272812,True,True,False,False,True,False,True,0.06073704588420955,"(0.185, 0.214]",0.213456234082105
EHBP1L1,ENSG00000173442,EHBP1L1,protein_coding,11,65576046.0,65592650.0,1028232.0,11.554495358905259,True,True,False,False,True,False,True,0.08453991023437617,"(0.246, 0.282]",0.2483662698286334
HTR1F,ENSG00000179097,HTR1F,protein_coding,3,87792706.0,87993839.0,2104475.0,23.648502108893855,True,True,False,False,True,False,True,0.4566233718115001,"(0.72, 0.825]",0.9072829425983184
NEDD4,ENSG00000069869,NEDD4,protein_coding,15,55826922.0,55993660.0,1436473.0,16.14199967681682,True,True,False,False,True,False,True,0.13496492856172676,"(0.368, 0.425]",0.3515955232211369
NCK2,ENSG00000071051,NCK2,protein_coding,2,105744912.0,105894274.0,3366797.0,37.83352425413346,True,True,False,False,True,False,True,0.44864420031409435,"(0.96, 1.125]",0.6530054915530407
FRMD4B,ENSG00000114541,FRMD4B,protein_coding,3,69168782.0,69542583.0,5464369.0,61.404455657717094,True,True,False,False,True,False,True,0.8840442240349734,"(2.18, 7.959]",0.9768526340545258
C1QC,ENSG00000159189,C1QC,protein_coding,1,22643633.0,22648110.0,172101.0,1.9339411784139706,True,True,False,False,True,False,True,0.012380851892551859,"(0.0495, 0.0577]",0.10263098177834783
CTTNBP2NL,ENSG00000143079,CTTNBP2NL,protein_coding,1,112396214.0,112463456.0,2846295.0,31.984515525265934,True,True,False,False,True,False,True,0.29063879700138556,"(0.72, 0.825]",0.47700093705679836
PARP4,ENSG00000102699,PARP4,protein_coding,13,24420931.0,24512778.0,1639369.0,18.4219918287246,True,True,False,False,True,False,True,0.1396851218033011,"(0.484, 0.551]",0.32883860511134644
ABCC4,ENSG00000125257,ABCC4,protein_coding,13,95019835.0,95301475.0,1891557.0,21.25589028313139,True,True,False,False,True,False,True,0.19671616086506302,"(0.551, 0.63]",0.45378610393220103
MID1,ENSG00000101871,MID1,protein_coding,X,10445310.0,10833654.0,2100186.0,23.600305563178154,True,True,False,False,True,False,True,0.21718842443147499,"(0.63, 0.72]",0.467272404024757
DNAJA4,ENSG00000140403,DNAJA4,protein_coding,15,78264086.0,78282196.0,2043348.0,22.96160300654749,True,False,False,False,True,False,True,0.18606895810463261,"(0.484, 0.551]",0.38625767128774396
ALPK3,ENSG00000136383,ALPK3,protein_coding,15,84817356.0,84873479.0,462279.0,5.194742587294856,True,False,False,False,True,False,True,0.03993627613155824,"(0.0894, 0.104]",0.18271757130731042
TOB1,ENSG00000141232,TOB1,protein_coding,17,50862223.0,50867978.0,1656762.0,18.61744123875798,True,True,False,False,True,False,True,0.13959720529744568,"(0.425, 0.484]",0.3164026349572551
ITPRIP,ENSG00000148841,ITPRIP,protein_coding,10,104309698.0,104338465.0,237575.0,2.6696885867118674,True,True,False,False,True,False,True,0.01859643201541762,"(0.0577, 0.0671]",0.11914774348680172
LIMS1,ENSG00000169756,LIMS1,protein_coding,2,108534355.0,108687246.0,3915393.0,43.99823215654652,True,True,False,False,True,False,True,0.4570594285704134,"(1.125, 1.352]",0.6083808443602245
APOD,ENSG00000189058,APOD,protein_coding,3,195568705.0,195584033.0,2516646.0,28.280168801406187,True,True,False,False,True,False,True,0.22242391806417552,"(0.72, 0.825]",0.4248092486928949
ARHGAP9,ENSG00000123329,ARHGAP9,protein_coding,12,57472264.0,57488814.0,604327.0,6.790970828335569,True,False,False,False,True,False,True,0.0651044263660935,"(0.121, 0.14]",0.22985830561632087
ROBO2,ENSG00000185008,ROBO2,protein_coding,3,75906695.0,77649964.0,5777287.0,64.92079202802839,True,True,False,False,True,False,True,1.5201060383025804,"(2.18, 7.959]",1.702402143502944
SLC16A8,ENSG00000100156,SLC16A8,protein_coding,22,38078134.0,38084093.0,286192.0,3.2160097485351686,True,True,False,False,True,False,True,0.018446642484054906,"(0.0671, 0.0773]",0.11550325095101202
ATG16L2,ENSG00000168010,ATG16L2,protein_coding,11,72814406.0,72843674.0,2021506.0,22.71615909152714,True,True,False,False,True,False,True,0.17845311559784588,"(0.484, 0.551]",0.3516555157277258
PLEKHF2,ENSG00000175895,PLEKHF2,protein_coding,8,95133785.0,95156685.0,802932.0,9.02274396003676,True,True,False,False,True,False,True,0.06365616568101545,"(0.185, 0.214]",0.21931970345095456
SLC7A7,ENSG00000155465,SLC7A7,protein_coding,14,22773222.0,22829820.0,442865.0,4.976582704216146,True,True,False,False,True,False,True,0.03654355246542212,"(0.104, 0.121]",0.16516448554453522
ITPKB,ENSG00000143772,ITPKB,protein_coding,1,226631690.0,226739323.0,3250955.0,36.531779267237205,True,True,False,False,True,False,True,0.4118340623161212,"(1.125, 1.352]",0.6520326180848586
EPHA3,ENSG00000044524,EPHA3,protein_coding,3,89107621.0,89482134.0,2407736.0,27.05632039993806,True,True,False,False,True,False,True,0.39852150992873114,"(0.72, 0.825]",0.7318011228334673
SPP1,ENSG00000118785,SPP1,protein_coding,4,87975667.0,87983532.0,3718516.0,41.785876984975125,True,True,False,False,True,False,True,0.4747755056838504,"(1.352, 1.683]",0.6729654634099734
MTRF1,ENSG00000120662,MTRF1,protein_coding,13,41216369.0,41263577.0,1230463.0,13.827014742591789,True,False,False,False,True,True,False,0.12941473135796497,"(0.282, 0.324]",0.35317333635671927
MATN2,ENSG00000132561,MATN2,protein_coding,8,97868840.0,98036724.0,2881517.0,32.38031378434692,True,True,False,False,True,False,True,0.2892540050834762,"(0.825, 0.96]",0.47457961192620585
SDCBP,ENSG00000137575,SDCBP,protein_coding,8,58552924.0,58582859.0,2082242.0,23.39866443090431,True,True,False,False,True,False,True,0.19935681924646298,"(0.484, 0.551]",0.3920463647111544
ATP1A2,ENSG00000018625,ATP1A2,protein_coding,1,160115759.0,160143591.0,2774877.0,31.18197393004006,True,True,False,False,True,False,True,0.36244774650599426,"(0.96, 1.125]",0.698279583395547
RAPGEF1,ENSG00000107263,RAPGEF1,protein_coding,9,131576770.0,131740076.0,4211120.0,47.32138904040441,True,True,False,False,True,False,True,0.4968687894246759,"(1.125, 1.352]",0.6169031362244529
GLRX,ENSG00000173221,GLRX,protein_coding,5,95751319.0,95822726.0,2447564.0,27.503877411540966,True,True,False,False,True,False,True,0.24577668570397812,"(0.63, 0.72]",0.44416666557148804
STK32B,ENSG00000152953,STK32B,protein_coding,4,5051480.0,5500994.0,1125203.0,12.644182286999698,True,True,False,False,True,False,True,0.10201027934808436,"(0.324, 0.368]",0.3318830072725651
SHE,ENSG00000169291,SHE,protein_coding,1,154469772.0,154502412.0,204144.0,2.2940162342237502,True,True,False,False,True,False,True,0.016119785577149538,"(0.0495, 0.0577]",0.11379448456917834
SLC7A5,ENSG00000103257,SLC7A5,protein_coding,16,87830023.0,87869507.0,1274871.0,14.326038338335032,True,True,False,False,True,False,True,0.10794124739432799,"(0.282, 0.324]",0.3149155518406396
TPM1,ENSG00000140416,TPM1,protein_coding,15,63042632.0,63071915.0,3444626.0,38.708107829910354,True,False,False,False,True,False,True,0.37193407156284164,"(0.825, 0.96]",0.5446614347279098
FIGN,ENSG00000182263,FIGN,protein_coding,2,163593396.0,163736012.0,4628974.0,52.01691699878346,True,True,False,False,True,False,True,0.6642328746618454,"(1.683, 2.18]",0.7869891585438935
ARID3A,ENSG00000116017,ARID3A,protein_coding,19,925781.0,975939.0,1308277.0,14.701429759687013,True,False,False,False,True,False,True,0.11725189071097272,"(0.282, 0.324]",0.2985582533553145
SAMD5,ENSG00000203727,SAMD5,protein_coding,6,147508690.0,147737547.0,1481454.0,16.647462214200324,True,True,False,False,True,False,True,0.21855514073117924,"(0.425, 0.484]",0.5839518936476091
NKAIN3,ENSG00000185942,NKAIN3,protein_coding,8,62248591.0,63014000.0,3593502.0,40.38106398285286,True,True,False,False,True,False,True,0.546244300183518,"(1.352, 1.683]",0.9131374165468582
RASIP1,ENSG00000105538,RASIP1,protein_coding,19,48720585.0,48740610.0,372222.0,4.182749974210521,True,False,False,False,True,False,True,0.031192026793126937,"(0.0773, 0.0894]",0.15256249054440915
BST1,ENSG00000109743,BST1,protein_coding,4,15703065.0,15738313.0,205039.0,2.304073568897462,True,True,False,False,True,False,True,0.01779053429333574,"(0.0495, 0.0577]",0.11672342008567962
RPLP0,ENSG00000089157,RPLP0,protein_coding,12,120196699.0,120201235.0,1088399.0,12.230606705623948,True,False,True,False,True,False,False,0.08069884792259292,"(0.246, 0.282]",0.23987857971853951
FAM124A,ENSG00000150510,FAM124A,protein_coding,13,51222334.0,51284239.0,3732676.0,41.94499638048324,True,True,False,False,True,False,True,0.4245270259904554,"(1.125, 1.352]",0.5815422641145965
TRPM1,ENSG00000134160,TRPM1,protein_coding,15,31001061.0,31161273.0,299500.0,3.3655550109237264,True,True,False,False,True,False,True,0.021007235268455295,"(0.0671, 0.0773]",0.1275325846316678
NBPF14,ENSG00000270629,NBPF14,protein_coding,1,148531385.0,148679742.0,788807.0,8.864017868119237,True,True,False,False,True,False,True,0.06386832139086526,"(0.185, 0.214]",0.2259982958512518
TAGAP,ENSG00000164691,TAGAP,protein_coding,6,159034468.0,159045152.0,270603.0,3.0408323292854527,True,False,False,False,True,False,True,0.019603888681813182,"(0.0495, 0.0577]",0.12106357292515034
GLIPR1L1,ENSG00000173401,GLIPR1L1,protein_coding,12,75334670.0,75370560.0,2039480.0,22.918137341164346,True,True,False,False,True,False,True,0.21028793282031363,"(0.551, 0.63]",0.4283054652624539
ZNF331,ENSG00000130844,ZNF331,protein_coding,19,53519527.0,53580269.0,2922410.0,32.83983846234928,True,False,False,False,True,False,True,0.30448876056284413,"(0.72, 0.825]",0.4825940917183805
SH3TC1,ENSG00000125089,SH3TC1,protein_coding,4,8182072.0,8241803.0,355678.0,3.9968409855603646,True,True,False,False,True,False,True,0.030912512920173902,"(0.104, 0.121]",0.17381299415105392
HMSD,ENSG00000221887,HMSD,protein_coding,18,63949301.0,63981774.0,175210.0,1.9688777745039938,True,True,False,False,True,False,True,0.014324442231196067,"(0.0422, 0.0495]",0.1040246852947356
CTSS,ENSG00000163131,CTSS,protein_coding,1,150730079.0,150765957.0,802969.0,9.023159738118244,True,True,False,False,True,False,True,0.07173218750461056,"(0.185, 0.214]",0.24519886891063594
GADD45B,ENSG00000099860,GADD45B,protein_coding,19,2476122.0,2478259.0,450722.0,5.064873741681348,True,True,False,False,True,False,True,0.037498171461055635,"(0.121, 0.14]",0.18211716083641644
MSN,ENSG00000147065,MSN,protein_coding,X,65588377.0,65741931.0,1135293.0,12.757566093544675,True,True,False,False,True,False,True,0.10061955195224861,"(0.324, 0.368]",0.2957357236112758
STK26,ENSG00000134602,STK26,protein_coding,X,132023302.0,132075943.0,109810.0,1.233961922369063,True,True,False,False,True,False,True,0.010026148081363357,"(0.023, 0.027]",0.09114615754736521
ART4,ENSG00000111339,ART4,protein_coding,12,14825569.0,14843526.0,239466.0,2.6909382178492853,True,True,False,False,True,False,True,0.015334614192295355,"(0.0577, 0.0671]",0.11120775123200835
WIPF1,ENSG00000115935,WIPF1,protein_coding,2,174559572.0,174682916.0,3227279.0,36.265726244069825,True,True,False,False,True,False,True,0.33108527028898876,"(1.125, 1.352]",0.5397741732114523
MT1E,ENSG00000169715,MT1E,protein_coding,16,56625475.0,56627112.0,657413.0,7.387511240054757,True,True,False,False,True,False,True,0.06162637990472119,"(0.185, 0.214]",0.2425375159427006
TMEM235,ENSG00000204278,TMEM235,protein_coding,17,78231310.0,78240987.0,1542708.0,17.335788446718265,True,True,False,False,True,False,True,0.13479064867265886,"(0.484, 0.551]",0.3300974655094649
CHSY1,ENSG00000131873,CHSY1,protein_coding,15,101175727.0,101252048.0,3230181.0,36.29833673035263,True,False,False,False,True,False,True,0.3520157148509231,"(0.825, 0.96]",0.5300828477417336
GINS4,ENSG00000147536,GINS4,protein_coding,8,41529218.0,41545030.0,148381.0,1.6673937164469896,True,True,False,False,True,False,True,0.01083531500562602,"(0.0362, 0.0422]",0.08857756442544523
CSRNP1,ENSG00000144655,CSRNP1,protein_coding,3,39141855.0,39154562.0,394555.0,4.43371137674461,True,True,False,False,True,False,True,0.03030084857257004,"(0.0894, 0.104]",0.14913205013095535
CD84,ENSG00000066294,CD84,protein_coding,1,160541095.0,160579516.0,257129.0,2.8894216841529445,True,True,False,False,True,False,True,0.021235926724099314,"(0.0773, 0.0894]",0.14313113863862922
ARHGAP15,ENSG00000075884,ARHGAP15,protein_coding,2,143091362.0,143768352.0,4859583.0,54.608326933722054,True,True,False,False,True,False,True,0.6349193424941583,"(1.683, 2.18]",0.7405563656118996
KLF6,ENSG00000067082,KLF6,protein_coding,10,3775996.0,3785281.0,1384484.0,15.557786523351332,True,True,False,False,True,False,True,0.12099093814875223,"(0.324, 0.368]",0.31358264221559057
ZNF813,ENSG00000198346,ZNF813,protein_coding,19,53467733.0,53496255.0,196246.0,2.205264469695284,True,True,False,False,True,False,True,0.013663217718890603,"(0.0495, 0.0577]",0.10020129337084632
SPATA1,ENSG00000122432,SPATA1,protein_coding,1,84506300.0,84566194.0,1514611.0,17.020055561436383,True,True,False,False,True,False,True,0.14263794143551492,"(0.368, 0.425]",0.346039323805247
DIO2,ENSG00000211448,DIO2,protein_coding,14,80197526.0,80387757.0,1105097.0,12.418246230072711,True,True,False,False,True,False,True,0.09685015480512763,"(0.282, 0.324]",0.3119691003566831
HS3ST5,ENSG00000249853,HS3ST5,protein_coding,6,114055596.0,114343023.0,4984580.0,56.012948902671745,True,True,False,False,True,False,True,0.7670916735538011,"(1.683, 2.18]",0.8654549117976342
KLF15,ENSG00000163884,KLF15,protein_coding,3,126342635.0,126357408.0,1245052.0,13.990954916396017,True,True,False,False,True,False,True,0.10058423231531408,"(0.324, 0.368]",0.2687714484466385
MDFIC2,ENSG00000242120,MDFIC2,protein_coding,3,70194479.0,70312638.0,169593.0,1.9057581668366863,True,True,False,False,True,False,True,0.014871525843216582,"(0.0422, 0.0495]",0.12021270842499199
A2M,ENSG00000175899,A2M,protein_coding,12,9067664.0,9116229.0,1969629.0,22.133204509551547,True,True,False,False,True,False,True,0.1980761233670892,"(0.551, 0.63]",0.4139484934730777
TPRN,ENSG00000176058,TPRN,protein_coding,9,137191617.0,137204193.0,1544180.0,17.352329672014022,True,True,False,False,True,False,True,0.12370684474405579,"(0.368, 0.425]",0.28992720861853066
TNFRSF13C,ENSG00000159958,TNFRSF13C,protein_coding,22,41922032.0,41926806.0,79525.0,0.8936419440524519,True,True,False,False,True,False,True,0.0044891131421199385,"(0.0198, 0.023]",0.05727920920025059
ENSG00000248710,ENSG00000248710,ENSG00000248710,protein_coding,3,160227454.0,160449829.0,1275914.0,14.337758785334675,True,True,False,False,True,False,True,0.11429151011316632,"(0.368, 0.425]",0.31108002293052583
GLI3,ENSG00000106571,GLI3,protein_coding,7,41960949.0,42264100.0,1438263.0,16.162114346164245,True,True,False,False,True,False,True,0.18345957075962185,"(0.484, 0.551]",0.5135391511712272
ITPR3,ENSG00000096433,ITPR3,protein_coding,6,33620365.0,33696574.0,262573.0,2.950597248358182,True,True,False,False,True,False,True,0.024242077857745115,"(0.0577, 0.0671]",0.1368387437443785
ASB14,ENSG00000239388,ASB14,protein_coding,3,57268342.0,57292685.0,1035027.0,11.63085244170735,True,True,False,False,True,False,True,0.08487770129402217,"(0.246, 0.282]",0.25376236023136983
HIGD1B,ENSG00000131097,HIGD1B,protein_coding,17,44846353.0,44850476.0,183226.0,2.058955533995027,True,True,False,False,True,False,True,0.016116879277678058,"(0.0422, 0.0495]",0.11357941579810746
SLC37A2,ENSG00000134955,SLC37A2,protein_coding,11,125063302.0,125090516.0,119039.0,1.337670460585474,True,True,False,False,True,False,True,0.009043465324727818,"(0.0314, 0.0362]",0.0828136783552017
CAP1,ENSG00000131236,CAP1,protein_coding,1,40040233.0,40072649.0,1916364.0,21.534652630897615,True,False,False,False,True,False,True,0.16641622810356416,"(0.425, 0.484]",0.3411228550467848
SFT2D2,ENSG00000213064,SFT2D2,protein_coding,1,168225938.0,168253021.0,1340252.0,15.060740682806498,True,True,False,False,True,False,True,0.11471692178131548,"(0.368, 0.425]",0.2895529673240386
FAU,ENSG00000149806,FAU,protein_coding,11,65120630.0,65122177.0,2036230.0,22.881616293466507,True,True,False,False,True,False,True,0.1685520119249723,"(0.551, 0.63]",0.35622615546584585
GPRIN3,ENSG00000185477,GPRIN3,protein_coding,4,89236383.0,89307800.0,1430590.0,16.075890961861013,True,True,False,False,True,False,True,0.1651049176798221,"(0.368, 0.425]",0.4302063808930788
FPR1,ENSG00000171051,FPR1,protein_coding,19,51745172.0,51804110.0,205443.0,2.3086134160574394,True,True,False,False,True,False,True,0.01823349160832396,"(0.0422, 0.0495]",0.11903973074954097
APOBEC3G,ENSG00000239713,APOBEC3G,protein_coding,22,39077067.0,39087743.0,96470.0,1.08405706812625,True,True,False,False,True,False,True,0.006673030703903468,"(0.023, 0.027]",0.06910807380737839
SLC19A1,ENSG00000173638,SLC19A1,protein_coding,21,45493572.0,45573365.0,955517.0,10.73737905633658,True,True,False,False,True,False,True,0.08617531203953725,"(0.214, 0.246]",0.28637427845316443
RARB,ENSG00000077092,RARB,protein_coding,3,25174332.0,25597932.0,2692695.0,30.258474624838943,True,True,False,False,True,False,True,0.42605440563939034,"(0.825, 0.96]",0.7511771624130215
CADPS2,ENSG00000081803,CADPS2,protein_coding,7,122318411.0,122886759.0,3882732.0,43.63121248305142,True,True,False,False,True,False,True,0.887945813819872,"(1.352, 1.683]",1.2397494812468888
RPS27,ENSG00000177954,RPS27,protein_coding,1,153990762.0,153992155.0,2708274.0,30.4335396716342,True,False,True,False,True,False,False,0.23531734377930358,"(0.72, 0.825]",0.42705869983461486
CNR1,ENSG00000118432,CNR1,protein_coding,6,88139864.0,88166347.0,2197241.0,24.690936419890015,True,True,False,False,True,False,True,0.282520256900805,"(0.551, 0.63]",0.5777564537817004
PIK3R6,ENSG00000276231,PIK3R6,protein_coding,17,8802722.0,8867677.0,215508.0,2.421716291466278,True,True,False,False,True,False,True,0.016520251532874827,"(0.0495, 0.0577]",0.11163374225352045
SLC44A3,ENSG00000143036,SLC44A3,protein_coding,1,94820342.0,94895246.0,775075.0,8.709708013661793,True,True,False,False,True,False,True,0.06666996577879496,"(0.185, 0.214]",0.2464840844626238
IL15,ENSG00000164136,IL15,protein_coding,4,141636583.0,141733987.0,395664.0,4.446173481943657,True,True,False,False,True,False,True,0.04397124938454555,"(0.0894, 0.104]",0.21052917169589955
JOSD2,ENSG00000161677,JOSD2,protein_coding,19,50505998.0,50511220.0,626496.0,7.040089322616597,True,True,False,False,True,False,True,0.04652203740193172,"(0.161, 0.185]",0.179718214213139
STON2,ENSG00000140022,STON2,protein_coding,14,81260656.0,81436465.0,1504107.0,16.90201953527697,True,True,False,False,True,False,True,0.18738716921552834,"(0.551, 0.63]",0.5220459281492176
SCARB1,ENSG00000073060,SCARB1,protein_coding,12,124776856.0,124882668.0,3130795.0,35.181511854507335,True,False,False,False,True,False,True,0.3113925550185658,"(0.825, 0.96]",0.47017485955763455
NFATC2,ENSG00000101096,NFATC2,protein_coding,20,51386957.0,51562831.0,857975.0,9.641275661092768,True,True,False,False,True,False,True,0.0797269879313255,"(0.246, 0.282]",0.28810026314055964
TMEM139,ENSG00000178826,TMEM139,protein_coding,7,143279957.0,143288048.0,111265.0,1.2503121144922484,True,True,False,False,True,False,True,0.00761560800141033,"(0.027, 0.0314]",0.07366042826783045
BCL11B,ENSG00000127152,BCL11B,protein_coding,14,99169287.0,99272197.0,1675216.0,18.824813366209018,True,True,False,False,True,False,True,0.22847868567468393,"(0.425, 0.484]",0.5464130613988698
FAM111A,ENSG00000166801,FAM111A,protein_coding,11,59142748.0,59155039.0,414947.0,4.662861285869006,True,True,False,False,True,False,True,0.029331712557703612,"(0.104, 0.121]",0.14868295533060982
RPL22L1,ENSG00000163584,RPL22L1,protein_coding,3,170864875.0,170870208.0,406251.0,4.565142199475041,True,False,True,False,True,False,False,0.02899395997743469,"(0.0894, 0.104]",0.14374467566820495
GPD1,ENSG00000167588,GPD1,protein_coding,12,50103982.0,50111313.0,209331.0,2.3523038263494978,True,True,False,False,True,False,True,0.014403660538417556,"(0.0495, 0.0577]",0.1031855203485147
SULT1C4,ENSG00000198075,SULT1C4,protein_coding,2,108377911.0,108388989.0,263181.0,2.957429493589039,True,True,False,False,True,False,True,0.018003659270596172,"(0.0671, 0.0773]",0.11869282866335863
NPSR1,ENSG00000187258,NPSR1,protein_coding,7,34658218.0,34878332.0,448963.0,5.045107426942734,True,True,False,False,True,False,True,0.04079484770307553,"(0.104, 0.121]",0.20913332208091964
TNS1,ENSG00000079308,TNS1,protein_coding,2,217799588.0,218033982.0,2286625.0,25.695366366789536,True,True,False,False,True,False,True,0.2377206988737071,"(0.63, 0.72]",0.4470247451084959
MIS18BP1,ENSG00000129534,MIS18BP1,protein_coding,14,45203190.0,45253540.0,1909760.0,21.46044186197561,True,True,False,False,True,False,True,0.21205882627679634,"(0.484, 0.551]",0.44099823775120006
SLFN12,ENSG00000172123,SLFN12,protein_coding,17,35410922.0,35433283.0,79756.0,0.8962377477503596,True,True,False,False,True,False,True,0.0064795163951458104,"(0.023, 0.027]",0.0707731828023571
GLIPR1L2,ENSG00000180481,GLIPR1L2,protein_coding,12,75391089.0,75432688.0,1203153.0,13.520125569475505,True,True,False,False,True,False,True,0.10103788731863354,"(0.282, 0.324]",0.28520638652121777
IQCJ-SCHIP1,ENSG00000283154,IQCJ-SCHIP1,protein_coding,3,158962235.0,159897366.0,6205284.0,69.730299366961,True,True,False,False,True,False,True,1.5656057025500683,"(2.18, 7.959]",1.5572004208846846
OPALIN,ENSG00000197430,OPALIN,protein_coding,10,96343221.0,96359365.0,2622954.0,29.474777890225145,True,True,False,False,True,False,True,0.28531055029110836,"(0.96, 1.125]",0.5521663178879782
P4HA1,ENSG00000122884,P4HA1,protein_coding,10,73007217.0,73096974.0,3692217.0,41.490348667004234,True,True,False,False,True,False,True,0.4061172208745457,"(0.96, 1.125]",0.5578659517182338
RUNX1,ENSG00000159216,RUNX1,protein_coding,21,34787801.0,36004667.0,2037277.0,22.893381689447935,True,True,False,False,True,False,True,0.26346873564484025,"(0.63, 0.72]",0.5721153153329097
SEMA3E,ENSG00000170381,SEMA3E,protein_coding,7,83363238.0,83649139.0,1251607.0,14.064615060291194,True,True,False,False,True,False,True,0.16922005034145818,"(0.368, 0.425]",0.520553189954911
STOM,ENSG00000148175,STOM,protein_coding,9,121338987.0,121370304.0,1005898.0,11.303522719125725,True,False,False,False,True,True,False,0.09715033210740195,"(0.282, 0.324]",0.2974610296448384
SFRP1,ENSG00000104332,SFRP1,protein_coding,8,41261962.0,41309473.0,806251.0,9.060040377670335,True,True,False,False,True,False,True,0.06620078200234938,"(0.214, 0.246]",0.2357327445299644
